sentence_id,words,labels
4836,Matías,I-PER
489,PUSAPUNA,O
4164,Domingo,I-LOC
774,suyukuna,I-ORG
4746,Begoña,B-PER
1580,.,O
2250,Kristuwal,I-ORG
2003,',O
1173,kaynin,I-ORG
3844,Leonardo,I-LOC
3235,distritu,I-LOC
4611,Luís,I-PER
2256,Kupa,I-ORG
1124,',O
2442,),O
480,Puka,B-LOC
1105,Ch'anka,B-LOC
5360,Kalipuy,B-LOC
1644,Pachantin,I-ORG
2663,mayu,I-LOC
1969,1990,I-ORG
353,llaqta,I-ORG
5168,Cabanillas,I-PER
2593,Jumbilla,B-LOC
918,Passarella,I-PER
2917,distritu,I-LOC
1066,.,O
604,**,O
5097,William,B-PER
1801,Kashapampa,B-LOC
1794,',O
1159,),O
2398,mamallaqta,I-ORG
873,Eielson,I-PER
798,",",O
1497,Kamana,B-LOC
1034,gryphus,O
2266,sach'a,I-LOC
1523,John,B-PER
2427,distritu,I-LOC
3601,Santiago,B-LOC
3431,Mayuq,B-LOC
45,Suntur,I-ORG
2605,distritu,I-LOC
1680,Markus,I-ORG
4758,Ponce,I-PER
2410,wat'a,I-LOC
960,Prinsipipas,I-LOC
4536,Ritai,B-PER
628,.,O
5339,Torres,I-PER
2385,Belanov,I-PER
1706,.,O
1755,alimpuchi,I-LOC
2768,Waqra,B-LOC
896,José,I-PER
1519,Arce,I-PER
3065,Cáceres,I-LOC
2903,distritu,I-LOC
2197,1970,I-ORG
3746,Santa,B-LOC
4545,Carmenpas ,B-PER
1698,",",O
3253,José,B-LOC
5126,y,I-PER
5188,Ayllón,I-PER
2960,José,B-LOC
4410,-,O
566,',O
1830,shilluk,O
1463,',O
1267,**,O
4799,Candida,I-PER
1998,.,O
3319,distritu,I-LOC
1534,km,O
479,llaqta,I-ORG
5238,Molina,I-PER
4840,Oscar,I-PER
1738,Theatre]],O
1384,Yukio,B-PER
4648,Jara,I-PER
1581,(,O
979,Uqshapampa,B-LOC
510,mama,I-ORG
1904,Oral,O
1457,",",O
339,Jean-Philippe,B-PER
2097,parki,I-ORG
5160,Pumaqhawa,I-PER
469,Tupaq,B-PER
4784,Oscar,B-PER
4914,Enzo,B-PER
1769,de,I-PER
696,Inzaghi,I-PER
1060,Chakamarka,B-ORG
969,pruwinsya,I-LOC
1107,',O
1265,Andrade,I-PER
5164,Max,B-PER
1779,2006,I-ORG
1608,Kampana,B-ORG
2595,Recta,B-LOC
1315,maqanakurqan,O
2014,',O
1312,'Jardín,O
2242,',O
2293,Cruyff,I-PER
253,Awya,B-ORG
2069,Tullius,I-PER
1463,(,O
1365,Schalke,I-ORG
4466,Silviawan,B-PER
5095,Ted,B-PER
262,',O
3839,pruwinsya,I-LOC
2935,Hanan,B-LOC
1109,',O
2337,de,I-PER
4731,Campos,I-PER
1453,.,O
646,Piruw,B-ORG
4874,Diego,B-PER
1788,sallqa,I-ORG
2006,Qhapaq,I-PER
30,Kamasqa,O
1391,Barreda,I-PER
1964,suyu,I-ORG
1524,kaq,O
3882,pruwinsya,I-LOC
2888,Qutarusi,B-LOC
917,Gerais,I-ORG
2956,distritu,I-LOC
109,",",O
4524,Andrés,B-PER
4787,Kosok,I-PER
1331,Vogts,I-PER
388,Kutupaksi,B-LOC
341,',O
2526,Urqu,I-LOC
429,Franz,B-LOC
4577,Kuraq,I-ORG
442,Hayt'ay,I-ORG
1165,Chimpurasu,B-LOC
1860,',O
3192,Chimpan,B-LOC
75,kamayuq,I-PER
3287,pruwinsya,I-LOC
358,Santa,I-PER
2074,(,O
998,Pampa,I-LOC
672,(,O
2513,Lampalliqi,B-LOC
4737,Hagman,I-PER
904,K.,I-PER
2239,R.,I-PER
3168,distritu,I-LOC
1508,Baldivieso,I-LOC
1887,San,I-ORG
1726,Chakamarka,B-ORG
4843,Climinti,B-PER
4648,del,I-PER
1683,Kupa,I-ORG
4718,Escallon,I-PER
3580,pruwinsya,I-LOC
436,'Ochroma,O
2299,",",O
2011,.,O
952,Johann,I-PER
1481,2006,I-ORG
3107,distritu,I-LOC
2113,Schriftsteller,O
